���web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
1575138382-1724,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,CORDUROY JACKET WITH FLEECE,https://www.zara.com/us/en/corduroy-jacket-with-fleece-p05575320.html,CORDUROY JACKET WITH FLEECE Details,119.00 USD,Taupe Brown
1575138279-1675,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,HOODED TECHNICAL JACKET,https://www.zara.com/us/en/hooded-technical-jacket-p01792308.html,HOODED TECHNICAL JACKET Details,89.90 USD,Black
1575138171-1625,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,FIELD JACKET,https://www.zara.com/us/en/field-jacket-p06518370.html,FIELD JACKET Details,129.00 USD,Cream
1575138095-1589,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,FAUX LEATHER BIKER JACKET,https://www.zara.com/us/en/faux-leather-biker-jacket-p08281411.html,FAUX LEATHER BIKER JACKET Details,119.00 USD,Black
1575138629-1842,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,RAW DENIM JACKET,https://www.zara.com/us/en/raw-denim-jacket-p00840351.html,RAW DENIM JACKET Details,49.90 USD,Blue
1575138557-1807,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,ASYMMETRICAL DOUBLE OVERSHIRT,https://www.zara.com/us/en/asymmetrical-double-overshirt-p08416300.html,ASYMMETRICAL DOUBLE OVERSHIRT Details,69.90 USD,Mid-Blue
1575138339-1704,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,FAUX SUEDE JACKET,https://www.zara.com/us/en/faux-suede-jacket-p08281361.html,FAUX SUEDE JACKET Details,null,Navy Blue
1575138200-1639,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,PUFFER VEST,https://www.zara.com/us/en/puffer-vest-p08281320.html,PUFFER VEST Details,35.90 USD,Burgundy
1575138608-1832,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,LEATHER BIKER JACKET,https://www.zara.com/us/en/leather-biker-jacket-p05479350.html,LEATHER BIKER JACKET Details,199.00 USD,Black
1575138202-1640,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,PUFFER VEST WITH POCKETS,https://www.zara.com/us/en/puffer-vest-with-pockets-p08574350.html,PUFFER VEST WITH POCKETS Details,49.90 USD,Black
1575138392-1729,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,WASHED CORDUROY OVERSHIRT,https://www.zara.com/us/en/washed-corduroy-overshirt-p07446345.html,WASHED CORDUROY OVERSHIRT Details,49.90 USD,Khaki
1575138105-1594,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,WATER REPELLENT PUFFER JACKET,https://www.zara.com/us/en/water-repellent-puffer-jacket-p07248400.html,WATER REPELLENT PUFFER JACKET Details,89.90 USD,Black
