���web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
1575137714-1520,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,DOUBLE FACED VELVET LOOK COAT,https://www.zara.com/us/en/double-faced-velvet-look-coat-p03548360.html,DOUBLE FACED VELVET LOOK COAT Details,229.00 USD,Black
1575137612-1473,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,TECHNICAL FABRIC PADDED COAT,https://www.zara.com/us/en/technical-fabric-padded-coat-p00706371.html,TECHNICAL FABRIC PADDED COAT Details,149.00 USD,Black
1575137618-1476,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,FLEECE TRIM PARKA,https://www.zara.com/us/en/fleece-trim-parka-p00706348.html,FLEECE TRIM PARKA Details,149.00 USD,Black
1575137616-1475,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,TWO-TONE TECHNICAL PARKA,https://www.zara.com/us/en/two-tone-technical-parka-p00706214.html,TWO-TONE TECHNICAL PARKA Details,129.00 USD,Gray
1575137646-1489,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,COAT WITH REMOVABLE TRIM,https://www.zara.com/us/en/coat-with-removable-trim-p09621368.html,COAT WITH REMOVABLE TRIM Details,249.00 USD,Gray
1575137573-1456,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,DOUBLE BREASTED OVERCOAT,https://www.zara.com/us/en/double-breasted-overcoat-p06518351.html,DOUBLE BREASTED OVERCOAT Details,129.00 USD,Beige
1575137580-1459,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,TEXTURED WEAVE COAT,https://www.zara.com/us/en/textured-weave-coat-p05863853.html,TEXTURED WEAVE COAT Details,199.00 USD,Navy Blue
1575137599-1467,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,HOODED PARKA,https://www.zara.com/us/en/hooded-parka-p08281345.html,HOODED PARKA Details,129.00 USD,Khaki
1575137679-1503,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,COAT WITH FAUX FUR TRIM,https://www.zara.com/us/en/coat-with-faux-fur-trim-p05801810.html,COAT WITH FAUX FUR TRIM Details,249.00 USD,Black
1575137685-1506,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,HOODED THREE-QUARTER LENGTH PUFFER JACKET,https://www.zara.com/us/en/hooded-three-quarter-length-puffer-jacket-p06985306.html,HOODED THREE-QUARTER LENGTH PUFFER JACKET Details,149.00 USD,Khaki
