���web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
1575157741-6196,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,RAISED DETAIL SWEATER,https://www.zara.com/us/en/raised-detail-sweater-p09598171.html,RAISED DETAIL SWEATER Details,49.90 USD,White
1575157636-6145,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,PLAID MINI SKIRT,https://www.zara.com/us/en/plaid-mini-skirt-p06873115.html,PLAID MINI SKIRT Details,39.90 USD,Multicolored
1575157551-6104,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,KNIT TOP WITH SLITS,https://www.zara.com/us/en/knit-top-with-slits-p03859108.html,KNIT TOP WITH SLITS Details,35.90 USD,Brick
1575157626-6140,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,WOOL BLEND JACQUARD SWEATER,https://www.zara.com/us/en/wool-blend-jacquard-sweater-p05802114.html,WOOL BLEND JACQUARD SWEATER Details,39.90 USD,Brown
1575157420-6041,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,SHOULDER DETAIL SWEATER,https://www.zara.com/us/en/shoulder-detail-sweater-p01822104.html,SHOULDER DETAIL SWEATER Details,49.90 USD,Sea green
1575157814-6231,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,COMBINATION POINTELLE VEST,https://www.zara.com/us/en/combination-pointelle-vest-p04331129.html,COMBINATION POINTELLE VEST Details,39.90 USD,Ecru
1575158019-6330,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,WOOL AND TENCEL�� BLEND SWEATER,https://www.zara.com/us/en/wool-and-tencel%C2%AE-blend-sweater-p01509119.html,WOOL AND TENCEL�� BLEND SWEATER Details,49.90 USD,Camel
1575158083-6361,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,BALLOON SLEEVE KNIT DRESS,https://www.zara.com/us/en/balloon-sleeve-knit-dress-p04369106.html,BALLOON SLEEVE KNIT DRESS Details,69.90 USD,Pale pink
1575157217-5943,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,KNIT TOP,https://www.zara.com/us/en/knit-top-p00014012.html,KNIT TOP Details,29.90 USD,Khaki
1575157270-5969,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,BALLOON SLEEVE SWEATER,https://www.zara.com/us/en/balloon-sleeve-sweater-p03471112.html,BALLOON SLEEVE SWEATER Details,39.90 USD,Black
1575157803-6226,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,LACE TRIMMED SWEATER,https://www.zara.com/us/en/lace-trimmed-sweater-p06771130.html,LACE TRIMMED SWEATER Details,49.90 USD,Ecru
1575157268-5968,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,RUFFLED KNIT TOP,https://www.zara.com/us/en/ruffled-knit-top-p04331128.html,RUFFLED KNIT TOP Details,null,Black
1575157934-6289,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,WOOL AND MOHAIR BLEND JACKET,https://www.zara.com/us/en/wool-and-mohair-blend-jacket-p09598183.html,WOOL AND MOHAIR BLEND JACKET Details,49.90 USD,Ecru
1575157464-6062,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,METALLIC THREAD KNIT SKIRT,https://www.zara.com/us/en/metallic-thread-knit-skirt-p06254118.html,METALLIC THREAD KNIT SKIRT Details,35.90 USD,Black
1575157870-6258,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,WOOL BLEND RUCHED DRESS,https://www.zara.com/us/en/wool-blend-ruched-dress-p03653112.html,WOOL BLEND RUCHED DRESS Details,49.90 USD,Mink
1575158147-6392,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,SWEATER WITH TIES,https://www.zara.com/us/en/sweater-with-ties-p03653109.html,SWEATER WITH TIES Details,49.90 USD,beige
1575157208-5939,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,CUT OUT SWEATER,https://www.zara.com/us/en/cut-out-sweater-p03471003.html,CUT OUT SWEATER Details,29.90 USD,Black
1575157899-6272,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,RIBBED KNIT DRESS,https://www.zara.com/us/en/ribbed-knit-dress-p05507114.html,RIBBED KNIT DRESS Details,49.90 USD,Dark gray
1575158015-6328,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,WOOL SWEATER,https://www.zara.com/us/en/wool-sweater-p05755107.html,WOOL SWEATER Details,119.00 USD,Navy blue
1575158103-6371,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,WOOL BLEND JACQUARD SWEATER,https://www.zara.com/us/en/wool-blend-jacquard-sweater-p05755131.html,WOOL BLEND JACQUARD SWEATER Details,69.90 USD,only one
1575157992-6317,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,DRAPED SEQUIN DRESS,https://www.zara.com/us/en/draped-sequin-dress-p00431102.html,DRAPED SEQUIN DRESS Details,119.00 USD,Golden
1575158054-6347,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,TURTLENECK KNIT TOP,https://www.zara.com/us/en/turtleneck-knit-top-p03519120.html,TURTLENECK KNIT TOP Details,19.90 USD,Burgundy
1575157909-6277,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,PUFFY SLEEVED DRESS,https://www.zara.com/us/en/puffy-sleeved-dress-p05536116.html,PUFFY SLEEVED DRESS Details,39.90 USD,Black
1575157229-5949,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,RUFFLED DRESS WITH BOW,https://www.zara.com/us/en/ruffled-dress-with-bow-p04331026.html,RUFFLED DRESS WITH BOW Details,69.90 USD,Ecru
1575157418-6040,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,BALLOON SLEEVE SWEATER,https://www.zara.com/us/en/balloon-sleeve-sweater-p09598119.html,BALLOON SLEEVE SWEATER Details,39.90 USD,Mid-green
1575158122-6380,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,MOHAIR AND WOOL DRESS,https://www.zara.com/us/en/mohair-and-wool-dress-p05755132.html,MOHAIR AND WOOL DRESS Details,119.00 USD,Anthracite grey
1575157358-6011,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,TEXTURED KNIT DRESS WITH RUFFLES,https://www.zara.com/us/en/textured-knit-dress-with-ruffles-p09598140.html,TEXTURED KNIT DRESS WITH RUFFLES Details,89.90 USD,Lilac
1575157895-6270,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,KNIT SWEATER WITH TIED CUFFS,https://www.zara.com/us/en/knit-sweater-with-tied-cuffs-p05536130.html,KNIT SWEATER WITH TIED CUFFS Details,49.90 USD,Black
1575157959-6301,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,KNIT JACKET WITH BUTTONS,https://www.zara.com/us/en/knit-jacket-with-buttons-p06254102.html,KNIT JACKET WITH BUTTONS Details,49.90 USD,beige-pink
1575157326-5996,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,CONTRASTING SEMI-SHEER TOP,https://www.zara.com/us/en/contrasting-semi-sheer-top-p09598176.html,CONTRASTING SEMI-SHEER TOP Details,39.90 USD,Black
1575157444-6052,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,TEXTURED CROPPED SWEATER,https://www.zara.com/us/en/textured-cropped-sweater-p05802103.html,TEXTURED CROPPED SWEATER Details,39.90 USD,Black
1575157657-6155,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,WOOL BLEND BUTTONED SWEATER,https://www.zara.com/us/en/wool-blend-buttoned-sweater-p05755130.html,WOOL BLEND BUTTONED SWEATER Details,49.90 USD,Dark beige
1575157735-6193,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,TEXTURED WEAVE SWEATER WITH RUFFLES,https://www.zara.com/us/en/textured-weave-sweater-with-ruffles-p03433100.html,TEXTURED WEAVE SWEATER WITH RUFFLES Details,35.90 USD,Black
